image,side,W_cm,H_cm,MA_cm,ma_cm,D_cm,angle_deg,ppcm_px_per_cm
i029_crop_group.jpg,right(#2),5.863636363636364,5.590909090909091,5.75929069519043,5.9626173539595175,6.131843220103871,125.71676635742188,7.333333333333333
i030_crop_group.jpg,left(#1),7.25,6.375,6.366939544677734,7.410764217376709,7.751032829284668,110.66178894042969,8.0
i030_crop_group.jpg,right(#2),6.0,6.125,6.051985740661621,6.249761581420898,6.588773250579834,38.9014778137207,8.0
i031_crop_group.jpg,left(#1),9.066666666666666,7.333333333333333,7.064876810709635,8.494655863444011,9.323777262369791,97.78421783447266,7.5
i031_crop_group.jpg,right(#2),7.2,7.466666666666667,7.214129638671875,7.321663920084635,7.545981852213542,147.09466552734375,7.5
i032_crop_group.jpg,left(#1),7.565217391304348,7.304347826086956,6.869003130042034,8.288443192191746,8.478286743164062,51.541893005371094,7.666666666666667
i032_crop_group.jpg,right(#2),7.173913043478261,7.434782608695652,6.925841455874235,7.510531549868376,7.832955899445906,39.78282165527344,7.666666666666667
i033_crop_group.jpg,left(#1),7.6499999999999995,7.35,7.431470489501953,7.534550285339355,8.160054588317871,86.50920104980469,6.666666666666667
i033_crop_group.jpg,right(#2),6.8999999999999995,6.8999999999999995,6.63171329498291,7.097365379333496,7.210443305969238,101.97180938720703,6.666666666666667
i034_crop_group.jpg,left(#1),9.142857142857142,7.571428571428571,6.9760540553501675,8.710467202322823,9.35907963344029,84.87922668457031,7.0
i034_crop_group.jpg,right(#2),7.142857142857143,7.285714285714286,6.913187299455915,7.523946489606585,7.6731992449079245,137.6323699951172,7.0
i035_crop_group.jpg,left(#1),7.565217391304348,6.913043478260869,6.89565492712933,7.375514652418054,7.900904945705248,99.50028228759766,7.666666666666667
i035_crop_group.jpg,right(#2),6.913043478260869,7.565217391304348,6.894130375074304,7.4952934928562325,7.725465525751528,174.59092712402344,7.666666666666667
i036_crop_group.jpg,left(#1),8.533333333333333,7.2,6.982311503092448,8.20069834391276,8.73518778483073,81.80696105957031,7.5
i036_crop_group.jpg,right(#2),8.133333333333333,7.2,7.15561269124349,7.86062978108724,8.222510782877604,99.76904296875,7.5
i037_crop_group.jpg,left(#1),8.093023255813954,7.116279069767441,7.169152370719022,7.974367718363917,8.430059743482012,75.32401275634766,7.166666666666667
i037_crop_group.jpg,right(#2),7.395348837209302,7.116279069767441,7.191746733909429,7.550183673237645,7.684350479480832,80.59017181396484,7.166666666666667
i038_crop_group.jpg,left(#1),8.368421052631579,6.157894736842105,5.933561626233553,7.856311798095703,8.621754094174035,84.40017700195312,6.333333333333333
i038_crop_group.jpg,right(#2),7.2631578947368425,6.631578947368421,6.565245979710629,7.404517725894326,7.709434710050885,110.3592758178711,6.333333333333333
i039_crop_group.jpg,left(#1),6.0,5.857142857142857,5.632122039794922,6.347678048270089,6.493353162493024,162.9414520263672,7.0
